count,date,title,description,org_link,link
1,2024-02-13 16:24:00,"라이즈, 2월 2주차 <b>신인</b> 아이돌 <b>그룹</b> 트렌드지수 순위 1위...뉴진스·르세라핌...","2024년 2월 2주차 <b>신인</b> 아이돌 <b>그룹</b>에 대한 랭키파이 분석 결과 라이즈가 트렌드지수 15,532포인트로 전주보다 2,967포인트 하락했음에도 1위에 올랐다. 랭키파이 <b>신인</b> 아이돌 <b>그룹</b> 트렌드 지수는 2024년 2월 1주차... ",https://www.cwn.kr/news/articleView.html?idxno=26370,https://www.cwn.kr/news/articleView.html?idxno=26370
2,2024-02-13 16:00:00,"노매드, 자유분방하고 힙한 매력의 콘셉트 포토 공개","<b>신인</b> 보이<b>그룹</b> 노매드(NOMAD)가 자유분방하고 힙한 개성으로 시선을 사로잡았다. 노매드(도의, 상하, 원, 리버, 준호)는 12일과 13일 자정 공식 SNS 채널을 통해 1, 2차 콘셉트 포토를 차례로 공개했다. 먼저 공개된 1차... ",http://www.thepowernews.co.kr/news/articleView.html?idxno=132752,http://www.thepowernews.co.kr/news/articleView.html?idxno=132752
3,2024-02-13 15:56:00,"노매드, 데뷔 콘셉트 사진 공개…자유분방 분위기","<b>신인</b> 보이<b>그룹</b> 노매드(NOMAD)가 자유분방하고 힙한 개성으로 시선을 사로잡았다. 노매드(도의, 상하, 원, 리버, 준호)는 12일과 13일 공식 채널을 통해 1, 2차 콘셉트 포토를 차례대로 공개했다. 먼저 공개된 1차 콘셉트... ",https://www.news1.kr/articles/5319299,https://n.news.naver.com/mnews/article/421/0007348731?sid=106
4,2024-02-13 14:41:00,남자 아이돌 노래 안 듣는다? 이 노래는 다릅니다,"짧은 숏폼 콘텐츠의 강세라는 시대적 흐름에, 이들 <b>신인 그룹</b>들은 자연스럽게 쉽게 따라 할 수 있고 부담 없는 동작으로 새롭게 호응을 이끌어내고 있다. 남자 아이돌이라면 응당 갖췄던 요소들, 족쇄처럼 따라붙었던... ",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003001683&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002422027?sid=106
5,2024-02-13 14:28:00,"'BTS 없는 K팝, 위기인가 기회인가' 가요기획사 10곳이 답했다 [ST창간기획-가...","국내에서는 방탄소년단보다 앨범을 더 많이 판매한 세븐틴을 비롯해 4세대 걸<b>그룹</b>·보이<b>그룹</b>, 5세대 <b>신인그룹</b>들이 자리를 메꾸겠지만, 글로벌 음악시장에서는 방탄소년단의 공백이 느껴질 수 밖에 없을 것&quot;이라고 현... ",http://www.stoo.com/article.php?aid=91208956426,http://www.stoo.com/article.php?aid=91208956426
6,2024-02-13 11:38:00,"<b>신인</b> 보이<b>그룹</b> 노매드, '자유분방+힙' 콘셉트 포토 공개","<b>신인</b> 보이<b>그룹</b> 노매드(NOMAD)가 자유분방하고 힙한 개성으로 시선을 사로잡았다. 노매드(도의, 상하, 원, 리버, 준호)는 12일과 13일 자정 공식 SNS 채널을 통해 1, 2차 콘셉트 포토를 차례대로 공개했다. 먼저 공개된... ",https://www.starnewskorea.com/stview.php?no=2024021311371757471,https://n.news.naver.com/mnews/article/108/0003214504?sid=106
7,2024-02-13 11:38:00,"'차트 삼킨' 투어스, '첫만남은 계획보다 대박이라'",지난달 22일 데뷔한 <b>신인</b> 보이<b>그룹</b> 투어스(신유·도훈·영재·한진·지훈·경민)가 계획 이상의 성적표를 손에 들었다. 투어스는 '트웬티 포 세븐 위드 어스(TWENTY FOUR SEVEN WITH US)' 머리글자를 따 '언제나 우리와 함께'라는... ,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12165071,https://n.news.naver.com/mnews/article/437/0000379400?sid=106
8,2024-02-13 11:33:00,"&quot;확실히 다른 매력&quot;…노매드, 감각적인 콘셉트 사진 '눈길'","데뷔를 앞둔 <b>신인</b> 보이<b>그룹</b> 노매드가 자유분방하고 힙한 개성으로 시선을 사로잡고 있다. 노매드(도의, 상하, 원, 리버, 준호)는 12일과 13일 공식 SNS 채널을 통해 1, 2차 콘셉트 사진을 잇달아 공개했다. 먼저 공개된 1차... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=658703,https://n.news.naver.com/mnews/article/477/0000473312?sid=106
9,2024-02-13 10:49:00,"‘데뷔’ 노매드, 자유분방하고 힙한 매력으로 똘똘 뭉쳤다","사진 | 노매드 엔터테인먼트 <b>신인</b> 보이<b>그룹</b> 노매드(NOMAD)가 자유분방하고 힙한 개성으로 시선을 사로잡았다. 노매드(도의, 상하, 원, 리버, 준호)는 12일과 13일 자정 공식 SNS 채널을 통해 1, 2차 콘셉트 포토를... ",https://www.sportsseoul.com/news/read/1398526?ref=naver,https://n.news.naver.com/mnews/article/468/0001029895?sid=106
10,2024-02-13 10:32:00,"TWS, 첫 자체 예능 활약…&quot;웃수저 자질, 대방출&quot;",<b>신인 그룹</b> '투어스'(TWS)가 첫 자체 예능에서 남다른 활약을 펼쳤다. 투어스는 지난 8일과 12일 공식 SNS 채널에 스페셜 자체 콘텐츠 예능 '엎어지면 코 닿을 사이' 2편을 게재했다. '웃수저' 자질로 글로벌 팬들의 마음을... ,http://www.dispatch.co.kr/2281254,https://n.news.naver.com/mnews/article/433/0000101451?sid=106
